iter	RMSE
162	4.917445619
163	4.913751878
164	4.905554574
165	4.899974849
166	4.893872455
167	4.891440414
168	4.885543031
169	4.882507735
170	4.875683223
171	4.871787096
172	4.86625227
173	4.859530289
174	4.856935591
175	4.853393838
176	4.853011645
177	4.850366564
178	4.842864384
179	4.837322051
180	4.832338642
181	4.828567987
182	4.825111167
183	4.819543367
184	4.816247958
185	4.813190213
186	4.811072702
187	4.807844078
188	4.804335797
189	4.801338648
190	4.797609943
191	4.793768185
192	4.789501045
193	4.787446827
194	4.785762618
195	4.780966643
196	4.775853858
197	4.77094038
198	4.769515896
199	4.765127147
200	4.758702867
201	4.754179226
202	4.752316045
203	4.750171092
204	4.745410652
205	4.742591451
206	4.740161672
207	4.736312794
208	4.734259949
209	4.731951705
210	4.729695154
211	4.726177987
212	4.722942924
213	4.718663748
214	4.716664211
215	4.714219745
216	4.712046446
217	4.710135108
218	4.705267131
219	4.703820123
220	4.700938139
221	4.698376108
222	4.694673402
223	4.691089728
224	4.687066472
225	4.686005566
226	4.682522736
227	4.677370442
228	4.674381306
229	4.668480791
230	4.66673136
231	4.663343113
232	4.659947423
233	4.657054806
234	4.653371294
235	4.650395284
236	4.645355003
237	4.644438604
238	4.640178145
239	4.637882708
240	4.633390097
241	4.629728387
242	4.628561627
243	4.622876594
244	4.618598694
245	4.61226127
246	4.610415379
247	4.607447169
248	4.602247949
249	4.595604574
250	4.592860796
251	4.592059416
252	4.589514689
253	4.586206785
254	4.583905732
255	4.579120459
256	4.578172852
257	4.575739701
258	4.571313864
259	4.568801789
260	4.56372414
261	4.561096521
262	4.560142941
263	4.55544114
264	4.549875113
265	4.547540493
266	4.544739327
267	4.540597593
268	4.53981233
269	4.536834581
270	4.53132131
271	4.528132937
272	4.522873215
273	4.519580603
274	4.514682415
275	4.511363995
276	4.510668309
277	4.508767989
278	4.506631715
279	4.503215424
280	4.502476368
281	4.498578796
282	4.494047218
283	4.489748166
284	4.487050412
285	4.481608235
286	4.476900399
287	4.472810082
288	4.468786125
289	4.462192883
290	4.458588976
291	4.457751504
292	4.452717011
293	4.449561146
294	4.448261209
295	4.443025928
296	4.441011723
297	4.439441716
298	4.436846847
299	4.434663222
300	4.429399114
301	4.423241271
302	4.421571255
303	4.417776772
304	4.412305471
305	4.408529569
306	4.405296218
307	4.40473756
308	4.400878772
309	4.398379509
310	4.394521522
311	4.393423538
312	4.391833971
313	4.390331791
314	4.389313505
315	4.38560731
316	4.384137143
317	4.378966598
318	4.374728903
319	4.371563341
320	4.36656042
321	4.362330553
322	4.360865578
323	4.358965707
324	4.356602607
325	4.354782011
326	4.352522153
327	4.348383739
328	4.345238621
329	4.341783154
330	4.336972599
331	4.336458881
332	4.333645163
333	4.329622734
334	4.329023881
335	4.32346904
336	4.319197924
337	4.314465504
338	4.310893256
339	4.307320781
340	4.306814111
341	4.30429897
342	4.300877055
343	4.297601369
344	4.292779989
345	4.289544895
346	4.286244612
347	4.283965677
348	4.279974132
349	4.278837339
350	4.277097878
351	4.27207802
352	4.267717014
353	4.266325365
354	4.261837802
355	4.256226609
356	4.253161188
357	4.252484981
358	4.248659172
359	4.243999293
360	4.238341263
361	4.233968886
362	4.23368415
363	4.229607567
364	4.22833223
365	4.224920602
366	4.224380549
367	4.22094091
368	4.218561546
369	4.215379381
370	4.213863984
371	4.212083528
372	4.20972356
373	4.205521058
374	4.202639049
375	4.197929286
376	4.19578663
377	4.195214996
378	4.191458957
379	4.189928423
380	4.185096372
381	4.180837096
382	4.178864728
383	4.174354063
384	4.172062421
385	4.171759989
386	4.168995135
387	4.16794342
388	4.167524236
389	4.16713614
390	4.163063656
391	4.159890921
392	4.156776143
393	4.152547075
394	4.147646525
395	4.144136044
396	4.142983258
397	4.138518948
398	4.137248749
399	4.134076003
400	4.130668454
401	4.130248877
402	4.128524197
403	4.125292935
404	4.120627791
405	4.118918608
406	4.117208035
407	4.1130958
408	4.10813363
409	4.107569242
410	4.102942175
411	4.101047866
412	4.100653405
413	4.09796173
414	4.096559607
415	4.095992294
416	4.09311073
417	4.089783792
418	4.085668719
419	4.080887675
420	4.077459509
421	4.074811707
422	4.068498155
423	4.065460598
424	4.063632393
425	4.060349986
426	4.060059163
427	4.057343032
428	4.054508116
429	4.051607729
430	4.049905814
431	4.044613217
432	4.040141956
433	4.037770376
434	4.036727183
435	4.03355944
436	4.029115014
437	4.026810945
438	4.025891378
439	4.024790089
440	4.024409661
441	4.020004953
442	4.019680858
443	4.017040513
444	4.014858714
445	4.010142073
446	4.009066053
447	4.00691573
448	4.00653511
449	4.005299173
450	4.004516051
451	4.000374567
452	3.998429118
453	3.996557856
454	3.992141499
455	3.991839522
456	3.987643751
457	3.984167163
458	3.982843712
459	3.979438342
460	3.976362278
461	3.97363756
462	3.970361614
463	3.965723833
464	3.960972163
465	3.958149367
466	3.956525038
467	3.953364708
468	3.952284869
469	3.951530816
470	3.94776034
471	3.943681098
472	3.942580862
473	3.942185607
474	3.939116523
475	3.934512125
476	3.931092498
477	3.926247483
478	3.925429432
479	3.922885813
480	3.922278749
481	3.921972026
482	3.921537557
483	3.916437221
484	3.914228487
485	3.911355862
486	3.910506788
487	3.909337454
488	3.906118718
489	3.902286095
490	3.898555597
491	3.898202533
492	3.893890348
493	3.890468769
494	3.887366782
495	3.883131084
496	3.880868574
497	3.877907332
498	3.87686918
499	3.873997275
500	3.869149491
501	3.868997291
502	3.865634443
503	3.86271897
504	3.858817002
505	3.855044474
506	3.853363155
507	3.849346799
508	3.846487689
509	3.846111089
510	3.842596039
511	3.839574934
512	3.837277772
513	3.833109628
514	3.830698656
515	3.829685657
516	3.82797388
517	3.825573888
518	3.823559467
519	3.822091814
520	3.818786372
521	3.814698785
522	3.814256664
523	3.811928824
524	3.808810755
525	3.804385873
526	3.800796661
527	3.796517312
528	3.792659197
529	3.790845536
530	3.790742584
531	3.788699496
532	3.78572779
533	3.783400389
534	3.782667815
535	3.78151603
536	3.776648712
537	3.776561916
538	3.772652287
539	3.772061477
540	3.771355729
541	3.767804052
542	3.767375671
543	3.76452097
544	3.763175301
545	3.762954658
546	3.762629656
547	3.761192945
548	3.757818571
549	3.75729652
550	3.754510906
551	3.750514606
552	3.748419161
553	3.745447547
554	3.743367467
555	3.739637487
556	3.736393903
557	3.734372117
558	3.733553348
559	3.730259413
560	3.729908631
561	3.729641984
562	3.729030491
563	3.727350905
564	3.726158422
565	3.722910495
566	3.722616513
567	3.720558079
568	3.717661361
569	3.715481209
570	3.713537202
571	3.712001305
572	3.711804046
573	3.710919688
574	3.709194231
575	3.706248268
576	3.705292478
577	3.700375727
578	3.69950562
579	3.695480894
580	3.693632101
581	3.690439686
582	3.6868589
583	3.683724328
584	3.683515032
585	3.681413762
586	3.679902076
587	3.676682367
588	3.673094564
589	3.669247747
590	3.666895455
591	3.665272022
592	3.661913989
593	3.660011701
594	3.659399695
595	3.656136441
596	3.655358046
597	3.651058955
598	3.648671862
599	3.645160526
600	3.643396912
601	3.643181005
602	3.640060455
603	3.638960193
604	3.634193268
605	3.631624835
606	3.629841217
607	3.62746501
608	3.62489773
609	3.624749685
610	3.624473534
611	3.620453396
612	3.61745463
613	3.613880522
614	3.613380628
615	3.613215839
616	3.612599076
617	3.612433508
618	3.610754767
619	3.608528314
620	3.608354676
621	3.606661309
622	3.604987944
623	3.604025475
624	3.60105798
625	3.600281605
626	3.598234259
627	3.594445894
628	3.592406532
629	3.589750028
630	3.586205863
631	3.581544617
632	3.577831162
633	3.576941006
634	3.574855292
635	3.572033202
636	3.568349279
637	3.566693437
638	3.564025716
639	3.563224069
640	3.563055814
641	3.558751521
642	3.556028579
643	3.555883528
644	3.553029987
645	3.549742011
646	3.546764955
647	3.543910815
648	3.542648172
649	3.542477369
650	3.54198104
651	3.538968149
652	3.536267664
653	3.535200403
654	3.532268882
655	3.530607244
656	3.529951154
657	3.529240125
658	3.527921173
659	3.525269525
660	3.524921407
661	3.523415356
662	3.521404185
663	3.521251134
664	3.518961715
665	3.518231336
666	3.516336516
667	3.513044243
668	3.51098245
669	3.509494467
670	3.508430127
671	3.507639929
672	3.503343785
673	3.500407444
674	3.497873178
675	3.496505233
676	3.49371405
677	3.491522723
678	3.491403395
679	3.491213026
680	3.488538625
681	3.487356119
682	3.486231644
683	3.485281889
684	3.482354762
685	3.48065887
686	3.477296414
687	3.476288402
688	3.474795076
689	3.472960351
690	3.470476083
691	3.470179651
692	3.470049805
693	3.4699241
694	3.466856945
695	3.466293386
696	3.463613166
697	3.461498866
698	3.458318478
699	3.458207936
700	3.456701457
701	3.453286073
702	3.451641164
703	3.450288581
704	3.448826809
705	3.445577923
706	3.445455472
707	3.445333034
708	3.442825934
709	3.441643841
710	3.439698546
711	3.436345139
712	3.433892473
713	3.432412956
714	3.42995318
715	3.425902393
716	3.424890033
717	3.422356203
718	3.418717912
719	3.415671264
720	3.413309403
721	3.41158295
722	3.409691275
723	3.407376425
724	3.40419288
725	3.401298939
726	3.400609548
727	3.399747969
728	3.399070551
729	3.395924952
730	3.391739541
731	3.3913577
732	3.391246167
733	3.388453341
734	3.385668246
735	3.385446482
736	3.385292517
737	3.382190315
738	3.38075563
739	3.377695305
740	3.377205316
741	3.377114404
742	3.374661131
743	3.371970391
744	3.368541255
745	3.368445078
746	3.365456995
747	3.364047977
748	3.360879608
749	3.35992554
750	3.357689274
751	3.355496958
752	3.354003921
753	3.352713801
754	3.35206786
755	3.350072133
756	3.349954402
757	3.349554874
758	3.348398157
759	3.347127332
760	3.347014863
761	3.346402684
762	3.344744652
763	3.341628875
764	3.339788718
765	3.336842267
766	3.336010277
767	3.333082938
768	3.331632078
769	3.329964243
770	3.329862553
771	3.326895055
772	3.325151486
773	3.321425126
774	3.321057577
775	3.317774721
776	3.316621857
777	3.314800505
778	3.312344834
779	3.311702473
780	3.308698898
781	3.305985672
782	3.303802375
783	3.302304138
784	3.299065201
785	3.298664629
786	3.29682571
787	3.294591543
788	3.293638474
789	3.291269233
790	3.289945509
791	3.288683588
792	3.287236328
793	3.284169663
794	3.281484028
795	3.280471827
796	3.280395371
797	3.279449453
798	3.279060016
799	3.277062973
800	3.275227547
801	3.27457037
802	3.274485618
803	3.272471361
804	3.269329854
805	3.268785134
806	3.268031274
807	3.267439791
808	3.264948572
809	3.263219365
810	3.258775778
811	3.256033941
812	3.254119682
813	3.252191012
814	3.249985472
815	3.248142506
816	3.246501407
817	3.244615305
818	3.242131596
819	3.240117617
820	3.237726008
821	3.237597788
822	3.236023041
823	3.233955292
824	3.233875117
825	3.233507637
826	3.231720472
827	3.2316424
828	3.231503301
829	3.230008938
830	3.227790457
831	3.226744267
832	3.224671056
833	3.223969269
834	3.221966146
835	3.221135624
836	3.220021287
837	3.217197205
838	3.21590532
839	3.214727013
840	3.213551836
841	3.210654247
842	3.209604547
843	3.206869318
844	3.204693517
845	3.20409362
846	3.20206625
847	3.201202393
848	3.19749289
849	3.196632528
850	3.194936667
851	3.192780837
852	3.192183228
853	3.190065545
854	3.188659666
855	3.188188519
856	3.186595445
857	3.186462933
858	3.18376017
859	3.183059247
860	3.182107226
861	3.18155544
862	3.179768966
863	3.178538344
864	3.178417764
865	3.175671876
866	3.173653612
867	3.173254219
868	3.171572346
869	3.169327302
870	3.165232883
871	3.164564341
872	3.164486021
873	3.163130048
874	3.160599056
875	3.158875327
876	3.158523672
877	3.158226025
878	3.157455676
879	3.156076818
880	3.155644302
881	3.154048676
882	3.151783177
883	3.149558294
884	3.147172293
885	3.145029956
886	3.14494015
887	3.14461311
888	3.143137253
889	3.139723788
890	3.137024015
891	3.136323074
892	3.136032557
893	3.135484504
894	3.133810623
895	3.133728052
896	3.130672865
897	3.128626132
898	3.125395306
899	3.123282383
900	3.12085475
901	3.120198768
902	3.118600205
903	3.115943987
904	3.113349621
905	3.111672588
906	3.110083762
907	3.106321931
908	3.104563974
909	3.103286634
910	3.100097369
911	3.09943545
912	3.097544633
913	3.096180842
914	3.093854411
915	3.093406613
916	3.092245061
917	3.092169937
918	3.089703003
919	3.088613718
920	3.087593838
921	3.08452827
922	3.082185696
923	3.082136229
924	3.079037267
925	3.078074163
926	3.076972354
927	3.075239075
928	3.074411242
929	3.074307154
930	3.072953323
931	3.071449868
932	3.069007508
933	3.067136465
934	3.065922458
935	3.065210357
936	3.063123525
937	3.061792361
938	3.061299025
939	3.060282095
940	3.058280781
941	3.055962346
942	3.055260083
943	3.053127185
944	3.051438147
945	3.049493851
946	3.048881835
947	3.04862589
948	3.045652657
949	3.045609221
950	3.044304254
951	3.04301329
952	3.041666309
953	3.040797605
954	3.040154262
955	3.037992515
956	3.034541572
957	3.03283766
958	3.032562814
959	3.032511917
960	3.030152019
961	3.02827643
962	3.026387
963	3.025124175
964	3.02311109
965	3.020812492
966	3.020371159
967	3.018625264
968	3.016668536
969	3.016112376
970	3.015413073
971	3.013172263
972	3.011626445
973	3.009574594
974	3.007805193
975	3.006367867
976	3.004098613
977	3.002440157
978	3.001759921
979	2.999644953
980	2.999540779
981	2.999143292
982	2.998331229
983	2.996846531
984	2.994992103
985	2.993421405
986	2.991821553
987	2.990576813
988	2.989960491
989	2.988904702
990	2.98639553
991	2.984920134
992	2.982640642
993	2.979450486
994	2.978021577
995	2.976307009
996	2.974873708
997	2.97303302
998	2.971263328
999	2.971003177
